taxon_name	rank	log2fc_WS_over_NS	corrected_p
Streptococcus agalactiae	species	3.44957683184035	0.0140792575409589
Streptococcus oralis	species	3.31743653954793	0.0140792575409589
Streptococcus parasanguinis	species	2.81132785388247	0.0189673691524847
Streptococcaceae	family	1.64493709112461	0.0140792575409589
Streptococcus	genus	1.63512079010537	0.0140792575409589
Lactobacillales	order	1.20111135813547	0.0189673691524847
Bacilli	class	1.09762190341441	0.0226084276874808
Firmicutes	phylum	0.781172079716995	0.0189673691524847
Bacteroidetes	phylum	-2.432653857137	0.0198407930904101
Enterobacteriaceae	family	-2.88443381215682	0.0198407930904101
Enterobacterales	order	-3.18250559041196	0.0189673691524847
Proteobacteria	phylum	-3.32919825265332	0.0140792575409589
Betaproteobacteria	class	-3.40934540726381	0.034661169458355
Gammaproteobacteria	class	-3.44988293877632	0.0140792575409589
Haemophilus parainfluenzae	species	-3.60190049778759	0.0321784715657774
Pasteurellaceae	family	-3.69264941628467	0.0226084276874808
Haemophilus	genus	-3.84852114362434	0.0226084276874808
Fusobacterium periodonticum	species	-4.56197238402572	0.0219653839892269
Neisseriaceae	family	-4.70000129872607	0.0189673691524847
Fusobacteriales	order	-5.0841866408552	0.0140792575409589
Fusobacterium	genus	-5.12065087482802	0.0140792575409589
