id	taxon_name	rank	g1_mean	Run4_P1	Run4_P2	Run4_P3	Run4_P4	Run5_P1	Run5_P2	Run5_P3	Run5_P4	Run4_P1_n_peptide	Run4_P2_n_peptide	Run4_P3_n_peptide	Run4_P4_n_peptide	Run5_P1_n_peptide	Run5_P2_n_peptide	Run5_P3_n_peptide	Run5_P4_n_peptide	Run4_P1_n_samp_children	Run4_P2_n_samp_children	Run4_P3_n_samp_children	Run4_P4_n_samp_children	Run5_P1_n_samp_children	Run5_P2_n_samp_children	Run5_P3_n_samp_children	Run5_P4_n_samp_children
22	Shewanella	genus	18.660126087396282	NA	NA	NA	18.940204810104607	18.62248431646528	18.635339763181584	NA	18.388745898455014	NA	NA	NA	1.0	1.0	1.0	NA	1.0	NA	NA	NA	1.0	1.0	1.0	NA	1.0
112	Planctomycetales	order	20.671373709515873	21.12105017226987	21.114159674580034	20.30952390434499	20.545945008883223	20.810431809835382	20.54780774932507	20.02991945916941	20.551037663328533	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
123	Pirellula	genus	20.671373709515873	21.12105017226987	21.114159674580034	20.30952390434499	20.545945008883223	20.810431809835382	20.54780774932507	20.02991945916941	20.551037663328533	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
125	Pirellula staleyi	species	20.671373709515873	21.12105017226987	21.114159674580034	20.30952390434499	20.545945008883223	20.810431809835382	20.54780774932507	20.02991945916941	20.551037663328533	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
126	Planctomycetaceae	family	20.671373709515873	21.12105017226987	21.114159674580034	20.30952390434499	20.545945008883223	20.810431809835382	20.54780774932507	20.02991945916941	20.551037663328533	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
136	Spirochaetales	order	18.26213534573069	16.07921410932741	16.037954231519095	16.88871497766541	16.896588214273393	18.82631112680521	18.918981854971225	19.379700206871476	18.909872353469833	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
226	Alteromonas	genus	27.61046012782813	27.653619295007264	27.86367539880158	27.908961747078514	27.487703260894357	27.311358579044015	27.544326025564082	27.651743330974067	27.345970877916095	244.0	247.0	246.0	242.0	245.0	247.0	240.0	244.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
265	Paracoccus	genus	28.741569933666245	28.70400459191689	28.65555815491213	28.744285420423424	28.8087418266275	28.7417800209805	28.70645113680902	28.692284940029513	28.867910493420155	373.0	363.0	354.0	360.0	369.0	355.0	363.0	366.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0
266	Paracoccus denitrificans	species	24.22620052319914	24.345734078974086	24.332495362093287	24.586915467232696	24.426076136985046	24.111106488811554	23.739803324980958	24.18788025162625	23.8926468504698	27.0	28.0	24.0	27.0	31.0	28.0	28.0	29.0	NA	NA	NA	NA	NA	NA	NA	NA
270	Thermus	genus	30.70957392019064	30.517143919515508	30.447069097615646	30.887308579360543	30.725891980597144	30.6416151860221	30.66351911656029	30.935086379372052	30.78953305954701	1525.0	1492.0	1553.0	1520.0	1510.0	1543.0	1599.0	1567.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
